place_name,공원,관광명소,교통,쇼핑,숙소,술집,음식점,주차시설,카페,화장실,review
삼성산성지,12,0,30,240,7,93,285,0,203,47,82
초의선사 탄생지,0,0,1,28,3,0,18,0,4,1,82
부인사(대구),0,0,1,0,0,0,0,0,0,0,81
내원정사,2,2,0,225,4,34,285,34,91,1,80
합강정,1,1,0,159,14,11,130,7,19,9,80
이영춘가옥,2,0,20,160,1,8,93,2,22,2,80
이훈동 정원,14,4,0,222,179,99,285,18,175,2,79
순창장류박물관,0,1,0,43,5,0,19,0,3,3,79
제2땅굴(철원),0,0,3,0,0,0,0,0,0,0,78
불굴사,2,3,0,12,3,8,16,8,4,3,77
계백장군 유적지,0,0,0,22,2,0,11,0,3,1,77
가야진사,0,0,6,19,4,2,28,0,4,6,77
체화정,3,0,0,83,4,12,95,2,14,1,77
경주 대릉원 일원,4,5,20,237,178,123,285,50,237,3,76
청주 용두사지 철당간,6,0,20,225,78,155,285,0,222,4,76
나주 목사내아,2,0,20,240,23,31,285,0,75,0,75
익산 쌍릉,1,0,0,101,0,0,22,1,3,8,75
황희선생유적지,2,1,0,28,2,0,19,0,6,0,74
백산기념관,2,0,0,225,222,193,285,0,222,1,74
북지장사,0,0,4,19,6,0,30,6,5,3,73
연천 경순왕릉,1,0,0,2,0,0,0,0,1,0,72
구미 채미정,0,0,0,108,6,5,125,8,55,2,72
금당사(진안),0,0,1,0,0,0,0,0,0,0,72
숙정문,7,10,0,237,98,0,285,25,237,29,71
남계서원 ,1,0,9,14,1,0,6,0,1,3,71
백양사,17,0,20,240,98,226,285,75,237,4,71
고성 학동마을 옛 담장,0,0,13,8,6,0,8,0,1,2,71
양림역사문화마을,0,0,20,0,0,0,0,0,0,0,70
제4땅굴,0,1,0,1,0,0,0,0,0,0,69
고창 고인돌 유적,2,0,6,18,0,0,13,0,3,5,69
영일장기읍성,0,0,1,17,0,1,11,1,7,0,69
남간정사,14,0,0,225,70,99,181,18,222,4,68
모명재,6,0,0,225,3,28,285,33,222,19,68
천주교연풍성지,1,0,1,28,1,5,20,0,6,1,68
강원 영월 김삿갓,0,0,0,2,18,0,1,0,0,0,67
헌릉,9,0,22,225,0,2,66,3,53,5,67
사촌전통마을,0,1,20,14,3,0,8,0,4,1,66
남해 관음포 이충무공 유적,0,0,6,0,0,0,0,0,0,0,66
약사사,42,0,0,450,12,116,570,26,270,44,66
국형사,2,0,0,69,5,0,33,3,29,3,65
심천역,3,2,0,15,80,173,4,2,1,38,64
선본사,0,1,0,3,0,0,3,0,2,3,63
천도교중앙대교당,26,42,52,222,222,208,285,222,222,147,62
수승대,1,2,20,28,38,1,29,2,4,6,62
함벽루,4,1,7,225,20,18,185,4,32,18,62
충주 관아공원,21,0,0,225,38,205,285,29,222,8,62
남원 만복사지,1,2,0,225,26,16,285,5,84,7,61
신라역사과학관,0,1,0,21,61,1,35,0,11,1,61
청도 석빙고,1,1,0,53,4,3,28,1,9,1,61
창녕 석빙고,2,0,20,225,8,22,231,8,41,4,61
보성 벌교 홍교,1,5,20,240,7,11,171,10,20,3,60
인천향교,44,2,23,225,3,211,285,57,222,9,60
고려동유적지,0,0,0,18,4,0,28,3,4,1,60
강릉향교,4,2,20,240,157,212,285,6,237,0,59
영양 주실마을,1,1,0,7,0,0,0,0,0,0,59
논개사당,2,0,0,114,4,12,86,0,9,6,59
옥련선원,3,0,0,225,120,206,285,23,222,0,59
창원 진해우체국,1,2,0,224,45,75,285,18,104,2,58
구산성지,5,0,30,240,3,57,285,9,237,7,58
합천 영암사지,0,0,0,0,7,0,4,0,0,6,58
옥천암,19,30,43,237,17,62,285,235,228,37,57
백운사,1,0,20,117,0,0,16,0,7,4,57
대각사(부산),0,0,29,0,0,0,0,0,0,0,57
백운사(의왕),0,0,20,0,0,0,0,0,0,0,57
초량교회,3,9,0,222,179,194,285,179,222,0,56
안동 법흥사지 칠층전탑,4,3,20,223,77,55,285,23,135,2,56
만귀정,1,0,0,134,0,5,60,6,24,0,55
이천도예마을,1,0,21,220,3,3,93,2,18,2,54
화순 규봉암,0,0,9,0,2,0,0,0,1,0,54
가평리 계서당,0,0,0,6,0,0,0,0,0,0,54
전주 남고산성,5,2,20,224,118,15,166,4,61,5,53
고창신재효고택,3,1,0,225,15,24,268,14,49,5,52
미타암,1,0,0,24,3,0,6,0,4,0,52
양주향교,0,0,3,223,2,1,53,5,10,0,52
금당실마을,0,0,11,17,5,3,16,1,5,1,51
능허대지,13,1,42,240,45,72,285,12,132,5,50
현덕사,0,1,0,3,28,0,5,0,1,0,50
안동하회마을겸암정사,0,0,9,0,0,0,0,0,0,0,50
경국사,13,3,25,225,16,67,285,21,222,32,49
안양사,3,1,20,225,18,30,285,13,118,5,49
안동 임청각,2,5,20,240,84,69,285,29,169,3,48
임진각관광지평화누리자유의다리,0,5,21,10,3,0,10,1,5,5,48
전주 정혜사,23,5,0,239,237,231,285,30,237,14,48
함안 말이산 고분군,5,1,20,240,9,32,253,30,47,6,48
의성 탑리리 오층석탑,0,0,0,71,4,2,37,0,11,2,46
김해 구지봉,37,3,24,224,104,185,285,26,222,8,45
심원사,0,1,4,3,13,1,27,0,4,1,45
사명대사유적지관광단지생가지,0,0,0,1,1,0,0,0,0,3,45
제천 자양영당,0,0,0,3,2,0,0,0,0,0,45
사천읍성,1,2,1,225,34,63,270,7,70,1,44
반기문기념관,1,1,1,14,2,1,16,0,3,6,44
연천역 급수탑,2,0,0,91,4,6,78,2,15,2,44
백마강,8,2,2,223,50,43,270,22,92,36,43
백제불교최초도래지,1,1,1,240,11,5,78,0,10,5,43
적성산성,1,0,20,20,3,0,13,2,5,6,43
황토현전적지,0,0,2,12,1,0,5,0,0,2,43
묘각사,29,10,0,222,222,201,285,222,222,150,42
안일사,10,1,27,240,27,75,285,97,237,17,42
여수 선소유적,8,0,20,204,39,176,243,0,193,5,42
최승효가옥,13,3,0,225,164,206,285,132,222,12,41
일산밤가시초가,39,2,3,240,32,234,285,75,237,178,41
오웬기념각,0,0,26,0,189,0,285,0,237,0,41
학봉종택,0,0,9,11,5,0,5,0,3,0,41
김유신 탄생지,1,1,4,8,3,1,10,0,1,2,40
DMZ 생태평화공원,1,0,2,0,0,0,0,0,0,0,40
달성 삼가헌 고택,0,0,0,18,0,0,4,0,0,2,40
무양서원,16,0,0,225,45,159,285,3,222,6,40
현풍석빙고,9,0,0,225,4,55,285,0,115,16,40
고성화암사,0,1,0,0,0,0,0,0,1,0,39
남원 교룡산성,0,1,0,28,2,0,9,0,3,3,39
예산 임존성,0,1,4,9,8,0,8,0,3,2,39
귀신사,0,0,0,3,1,0,6,0,6,0,39
성락원,16,8,47,237,96,223,285,76,237,60,38
의성 금성산 고분군,0,0,20,21,1,0,8,3,3,1,38
무상사,0,0,5,8,0,0,13,0,5,0,38
익산 함라마을 옛 담장,0,0,19,20,1,0,15,0,1,4,38
아랑각,3,1,0,225,26,83,285,9,163,27,37
도봉서원,23,0,38,225,21,188,285,28,222,69,37
일산역전시관,39,0,2,225,19,178,285,30,222,163,37
아차산성,11,0,0,0,26,0,285,0,222,0,36
무주한풍루,3,4,10,174,6,9,116,4,19,4,35
대관령 황태덕장마을,4,0,11,60,50,16,110,0,23,8,35
함벽정,0,3,16,33,2,0,8,0,3,6,34
봉인사,1,1,9,90,1,0,33,198,6,2,34
당진면천읍성,0,0,0,32,3,5,30,0,4,0,34
속초 조양동선사유적,2,6,20,239,197,165,304,13,210,2,33
보성 강골마을,1,0,0,30,1,4,17,1,5,0,33
동천석실,1,0,0,5,7,0,0,0,1,2,33
양주 온릉 ,2,1,20,60,21,0,66,3,14,4,32
성륜사,0,0,10,3,0,0,1,0,0,0,32
처용암,1,0,0,24,0,0,5,0,1,1,32
서울 금선사,2,0,37,174,3,7,78,11,37,4,32
단호사,0,0,0,154,2,6,67,8,18,1,32
서천 이하복 고택,0,0,0,14,0,0,2,0,2,0,32
신채호선생생가,1,0,1,18,0,0,2,1,0,1,32
원주 상원사,0,0,1,0,0,0,0,0,0,0,32
완도 세연정,0,0,0,0,0,0,0,0,0,0,31
장육사,0,1,3,0,0,0,0,0,0,0,30
의성 경덕왕릉,0,0,0,17,2,0,9,3,3,1,30
청도 용천사,0,0,1,7,5,0,20,0,6,3,30
해군영흥도 전적비,0,0,20,44,55,4,77,0,9,3,30
성베네딕도회 왜관수도원,2,1,0,225,18,41,285,15,88,3,29
은적사,8,1,8,450,49,154,478,43,235,10,29
난고 김삿갓 유적지,0,0,0,2,10,0,4,0,0,0,29
선교사블레어주택,0,0,29,0,0,0,0,0,0,0,29
천황사,0,0,0,6,13,0,11,4,2,2,29
함안무기연당,0,0,8,78,5,2,53,2,2,1,29
불영사,1,2,20,21,10,0,52,0,14,2,28
소재사,0,1,0,2,6,0,8,1,1,5,28
영동 난계사,1,1,0,14,5,0,20,0,0,0,28
김대중 대통령 생가,0,0,0,0,2,0,0,0,0,0,28
서울 석촌동 고분군,43,5,1,240,103,214,285,103,237,73,27
방조어부림,0,2,20,34,100,3,30,0,25,3,27
계룡 사계고택,1,1,0,107,9,5,72,6,16,1,27
부여 나성,1,0,17,48,4,4,35,1,4,6,27
운흥사,0,0,1,8,0,0,5,0,2,0,27
경주 독락당,0,1,0,3,3,0,13,0,2,1,26
영남제일관,2,1,22,225,25,58,285,44,158,37,26
기장향교,12,2,0,225,34,49,285,16,106,3,25
서광사,9,2,0,225,70,123,285,59,138,7,24
평화통일 불사리탑,1,2,0,87,52,2,63,3,25,3,24
황산마을,0,2,8,25,33,1,22,2,4,6,24
경주 남산 용장사곡 삼층석탑,0,1,0,8,4,0,16,1,4,1,24
고하도이충무공유적,0,0,0,0,0,0,0,0,0,0,24
설봉서원,8,4,5,222,9,8,190,6,51,6,23
남고문,2,3,1,225,16,27,285,10,68,0,23
부산진일신여학교,6,3,2,225,122,141,285,121,222,0,23
운주산성,0,0,20,6,1,0,5,0,1,1,23
독용산성,0,0,2,0,0,0,0,0,0,0,23
인왕사,21,11,0,222,73,190,285,104,222,83,22
화성정용채가옥,0,2,20,21,27,0,18,0,4,3,22
홍지문 ,17,2,23,225,14,56,285,25,202,32,22
성남 정토사,3,0,1,102,1,1,40,3,17,0,22
망양돈대,0,3,9,33,32,1,54,0,10,2,21
빙계서원,0,0,0,6,2,0,3,0,0,3,21
선운사(고창),0,0,29,0,0,0,0,0,0,0,21
영양 두들마을,2,0,20,10,5,2,13,1,3,2,21
장성 입암산성,0,0,0,1,2,0,0,0,0,0,20
구례 석주관성,1,0,0,1,3,0,2,0,1,1,20
제천 엽연초수납 취급소,14,0,20,225,100,179,285,16,222,0,20
충주 장미산성,0,0,0,13,8,1,9,0,0,2,20
해가사의 터,2,2,9,62,55,1,59,4,27,5,19
함안 채미정,1,1,0,3,0,0,3,0,1,0,19
용계정,0,0,10,3,1,0,0,0,1,1,19
보길도 윤선도 원림,0,0,0,35,20,3,38,0,3,3,19
칠곡향교,18,0,22,225,15,95,285,3,222,39,19
적상산사고지,0,3,6,1,0,0,0,0,2,1,18
서계박세당 사랑채,3,1,0,225,10,14,275,3,74,6,18
숭인원,23,0,4,240,125,222,285,72,237,92,18
죽림사,0,0,0,3,6,0,2,0,1,0,18
충주 산성,5,0,0,199,0,30,206,2,53,0,18
능인선원,28,3,43,240,9,132,285,79,237,36,17
장흥 회령진성,1,0,2,44,6,2,33,0,5,2,17
전남 담양 창평 ,0,0,20,65,12,1,43,1,14,2,17
배중손 사당,0,0,14,2,2,0,1,0,0,1,17
서산 경주김씨 고택,0,0,14,15,3,0,2,0,1,0,17
완도 묘당도 이충무공 유적,0,0,9,0,0,0,0,0,0,0,17
충주 임충민공 충렬사,0,0,14,133,1,6,67,7,21,1,17
고성 어명기 고택,0,0,6,24,61,3,37,0,5,9,17
광양 중흥사,0,0,0,12,6,0,11,0,3,3,16
서천 성북리 오층석탑,0,0,9,0,0,0,0,0,0,0,16
제천 점말동굴유적,0,0,0,16,3,0,11,0,3,0,15
진잠향교,14,0,24,225,3,14,266,5,87,1,15
경주 장항리 서 오층석탑,0,0,1,0,7,0,0,0,0,1,15
영덕 대소산 봉수대,0,0,2,32,9,2,42,0,4,1,15
창덕궁 인정문,28,43,48,225,222,210,285,222,222,136,14
황학정,21,36,10,222,222,207,285,225,222,104,14
척주동해비 및 평수토찬비,8,2,20,240,53,45,285,9,66,0,14
유금사,0,0,1,1,0,0,0,0,0,0,14
무주 지전마을 옛 담장,0,0,8,0,0,0,0,0,0,0,14
동북각루,33,10,21,237,128,216,285,66,237,33,13
계룡산도예촌,0,1,0,16,7,0,12,0,5,0,13
인천우체국,26,1,26,225,5,205,285,69,222,15,13
정약용선생묘,1,1,0,24,2,2,22,0,9,6,13
나주 반남 고분군,1,0,18,6,1,0,4,0,2,1,13
지선사,6,0,0,225,18,101,285,26,190,0,13
퇴계태실,0,0,8,10,6,0,7,0,3,1,13
산청함양사건 추모공원,0,0,1,3,8,0,4,0,0,3,13
대구 금용사,25,7,0,237,66,209,285,162,237,21,12
망경암,10,4,0,222,169,206,285,46,222,20,12
대천한내돌다리,11,1,20,225,59,112,285,9,172,3,12
군위 인각사지,1,0,8,3,3,0,1,0,0,1,12
금룡사,0,0,0,16,14,1,12,0,2,0,12
순천 정혜사,0,0,6,0,3,0,12,0,1,0,12
난계 박연선생 생가,1,1,11,10,5,0,18,0,0,0,11
반곡서원,3,0,0,225,3,119,59,7,17,10,11
존애원,0,0,0,18,0,0,4,0,1,0,11
하강서원,0,0,7,3,0,0,1,0,0,0,11
부산동명불원,8,3,2,225,16,164,285,45,222,0,10
대원군별장,16,2,40,240,18,59,285,22,210,36,10
화순 정암 조광조선생 적려 유허비,0,1,0,56,2,1,38,1,2,0,10
강릉 임영관 삼문,5,0,0,225,130,186,285,0,222,0,10
모평마을,0,0,0,8,7,71,1,17,1,3,10
부여 송국리 유적,0,0,18,0,0,0,0,0,0,0,10
영동 한천정사,0,0,8,48,4,1,35,3,5,0,10
용진정사,0,0,0,13,1,0,3,0,0,1,10
완도 신흥사,3,3,0,240,50,62,257,6,50,3,9
선원사,3,2,0,225,55,56,285,7,149,14,9
바우덕이 묘,0,1,0,10,3,0,18,0,4,3,9
관음사(대구),0,0,20,0,0,0,0,0,0,0,9
용암사,0,0,17,6,3,0,4,0,3,0,9
인천일본제58은행지점,0,0,26,0,0,0,0,0,0,0,9
문수암 (산청),0,0,0,0,0,0,0,0,0,0,9
산청 문수암,1,0,0,40,5,3,32,0,7,0,9
남악서원,0,0,0,225,4,58,19,2,5,2,9
창녕 진양하씨 고택,2,0,0,225,8,23,231,0,41,4,9
원주 영원산성,0,0,1,0,0,0,0,0,0,0,9
서울 남현동 요지,20,1,0,225,26,206,285,63,222,45,8
안동 의성김씨 종택,0,1,13,8,2,0,2,0,1,1,8
경산 임당동과 조영동 고분군,3,0,22,225,5,58,285,2,136,1,8
연흥사,0,0,0,1,0,0,0,0,0,1,8
평강성서유물 박물관,0,0,33,0,0,0,0,0,0,0,8
대구 서봉사,11,8,40,237,97,219,285,238,237,88,7
달성사,17,4,0,222,188,122,285,15,190,6,7
가평향교,2,3,0,225,32,17,258,5,59,14,7
마하사,2,3,20,225,11,69,285,74,175,0,7
삼막사남녀근석,0,1,0,22,4,7,42,3,21,3,7
영주암(부산),0,0,23,0,0,0,0,0,0,0,7
가학동지석묘,2,0,0,225,0,1,46,2,15,18,7
강진 병영마을 옛 담장,1,0,0,32,1,2,22,0,5,1,7
광주 조선백자 요지,0,0,0,50,6,1,41,0,14,1,7
보성사터,18,0,51,225,222,213,284,0,222,139,7
서천사,0,0,15,99,2,2,79,0,9,2,7
원갑사,0,0,0,3,0,0,0,0,0,0,7
천간사,17,0,38,225,55,207,285,47,222,62,7
통일안보공원,1,0,6,25,15,3,30,0,4,5,7
곽재우장군묘소,2,0,1,12,0,0,7,0,1,1,7
정몽주 동상,24,5,53,237,237,227,285,121,237,55,6
양림동 선교사 묘지,10,3,23,225,150,214,270,133,222,13,6
발산리 석등,0,1,20,56,1,2,31,0,3,0,6
파평용연,0,1,2,56,3,1,29,1,3,0,6
창녕 관음사,3,0,20,10,1,0,10,0,0,6,6
영산호국공원,2,0,0,106,6,11,98,3,15,4,6
인천 경서동 녹청자 요지,22,0,20,225,3,17,231,0,51,0,6
부산좌수영성지푸조나무,0,0,24,0,0,0,0,0,0,0,6
장안사대웅전,0,0,4,0,0,0,0,0,0,0,6
현암사,22,5,0,222,222,214,285,106,222,57,5
용산성당,15,3,0,225,84,215,285,58,222,76,5
인천통일관,30,3,22,225,111,199,285,110,222,4,5
청주 충청도병마절도사영문,7,2,20,225,81,143,285,69,222,1,5
강화산성,6,1,0,225,14,36,285,3,83,0,5
남선창고터,0,0,22,0,0,0,0,0,0,0,5
불회사(나주),0,0,10,0,0,0,0,0,0,0,5
용암서원,1,0,15,12,1,1,13,1,1,2,5
군산 개정면 구 일본인농장 창고,0,0,0,46,1,1,22,0,3,0,5
삼청동오위장김춘영가옥,19,0,50,225,222,207,285,0,222,160,5
울진 봉평리 신라비,1,0,0,42,26,8,74,0,9,3,5
청주 무농정,0,0,20,0,0,0,0,0,0,0,5
태교사,0,0,0,0,3,0,0,0,2,1,5
단양 온달산성,0,0,15,0,0,0,0,0,0,0,5
대한불교조계종망해사,0,0,18,3,2,0,19,1,0,1,5
부산 성암사,0,0,22,0,0,0,0,0,0,0,5
여수 타루비,7,6,0,222,178,152,285,29,210,10,4
연천전곡리유적토층전시관,4,3,20,240,35,30,271,18,63,2,4
운천사마애여래좌상,15,2,0,224,76,200,285,67,222,8,4
내소사,0,1,0,6,12,0,9,0,2,3,4
학소암,11,1,0,225,2,46,285,2,76,2,4
경원선 철도중단점,0,0,8,3,1,0,7,0,0,1,4
완주송광사대웅전,0,0,20,0,0,0,0,0,0,0,4
충렬사,2,0,40,92,26,4,100,0,22,0,4
동국사,2,0,20,126,2,1,62,0,34,0,4
낙빈서원,0,0,0,18,0,0,3,0,0,2,4
보타사,0,0,6,10,0,0,0,0,0,0,4
용강서원,1,0,0,5,12,0,10,0,3,3,4
홍승인고가,0,0,0,105,1,0,50,0,2,0,4
승동교회,25,43,60,237,237,226,285,240,237,164,3
고령 대가야유적지,1,3,14,225,5,13,163,8,40,7,3
나주향교,2,3,0,225,14,25,285,8,68,0,3
안동 장승공원,1,2,10,13,26,0,22,0,4,6,3
대한민국 수준원점,43,1,0,240,59,224,285,105,237,3,3
서울 구 벨기에영사관,27,1,50,240,31,222,285,70,237,50,3
강성서원,0,0,17,6,0,0,4,0,2,0,3
울진 평해황씨 해월종택,0,0,5,3,9,0,2,0,1,0,3
정읍화호리구일본인 농장 가옥,0,0,20,10,0,0,3,0,1,0,3
봉국사,10,0,28,225,93,199,285,26,222,0,3
인천도호부청사,43,0,0,225,4,213,285,0,222,10,3
자산서원,0,0,0,0,2,0,0,0,0,0,3
조령민속공예촌,0,0,2,0,0,0,0,0,0,0,3
장산서원,0,0,1,3,3,0,13,0,2,1,3
관수옥과 초량왜관 터,2,9,28,237,237,208,285,220,237,1,2
석왕사,8,3,21,225,59,119,285,23,222,15,2
제물포구락부,11,2,0,224,53,137,285,222,222,23,2
용화사,20,1,40,420,8,73,570,7,142,10,2
이충무공자당기거지,7,1,20,225,10,59,285,22,88,2,2
대승사(문경),0,0,2,0,0,0,0,0,0,0,2
삼가향교,1,0,20,66,1,3,53,1,9,7,2
낙동서원,25,0,0,225,7,187,285,0,222,0,2
연주암,0,0,0,100,1,0,3,0,6,4,2
정읍 전봉준 유적,0,0,0,3,0,0,0,0,0,1,2
풍계서원,0,0,20,1,1,0,0,0,0,0,2
향산사(무주),0,0,20,0,0,0,0,0,0,0,2
대조사,17,6,0,222,167,211,285,97,222,56,1
학산서원,19,3,20,222,64,122,285,60,222,9,1
예림서원,21,2,0,225,7,137,285,16,222,44,1
남도한옥민박마을,0,1,11,21,41,3,43,0,3,2,1
정혜사,0,1,11,3,12,0,12,1,3,3,1
용화사,20,1,40,420,8,73,570,7,142,10,1
이응로선생사적지,0,1,9,24,5,0,43,1,7,3,1
고성 문암리 유적,0,0,20,0,0,0,0,0,0,0,1
관음사(무주),0,0,20,0,0,0,0,0,0,0,1
태종사,5,0,20,240,1,4,45,0,14,2,1
남원 흥부마을,0,0,9,5,1,0,0,2,0,0,1
대구 구 동촌역사,4,0,23,225,44,79,285,0,160,42,1
무안 발산마을미륵당산,1,0,0,15,0,0,4,0,1,0,1
무안 유교리고가,0,0,18,40,0,3,19,0,1,0,1
송암사,8,0,21,225,29,103,284,14,118,0,1
천보사,25,0,0,225,16,212,285,36,222,53,1
호명사,42,0,0,225,130,205,285,51,222,5,1
양송천묘역,0,0,8,17,1,0,0,0,0,0,1
경희궁 숭정전,24,31,0,222,222,208,285,224,222,123,0
연미사,26,30,58,223,222,204,285,222,222,163,0
수원사,23,9,0,222,222,208,285,75,222,28,0
부산자유회관,3,6,0,222,201,205,285,188,222,0,0
목포 오포대,15,5,20,222,173,90,285,17,165,3,0
5.18 민주광장,7,3,25,225,167,207,270,130,222,8,0
보경사,0,3,9,14,16,0,6,1,2,3,0
성화사,8,3,47,240,9,48,285,16,162,16,0
왕인박사마을,0,3,10,17,23,0,19,4,4,3,0
동축사,6,3,0,223,3,17,201,5,33,0,0
선운사 백파율사비,0,3,1,5,13,2,22,1,5,3,0
신원사,11,3,24,225,146,201,285,134,222,0,0
약사암,5,3,0,223,45,77,285,25,117,1,0
은하사,40,3,41,225,89,224,285,222,222,47,0
홍련암,0,3,4,1,8,0,6,0,3,2,0
태백산 천제단,0,2,20,0,0,0,0,0,0,0,0
홍유사,38,2,48,240,130,223,285,66,237,56,0
가산서원,1,2,18,225,5,216,1,123,0,122,0
금강대도,1,2,18,28,0,0,15,17,4,2,0
사교루,3,2,26,224,3,4,79,12,47,4,0
의열사,6,2,0,224,40,35,285,16,61,21,0
무위사,2,1,20,200,2,15,170,9,29,2,0
서삼릉희릉,10,1,36,240,3,20,203,3,105,0,0
울주 천전리 각석,1,1,4,2,6,0,0,1,0,3,0
1.21 무장공비 침투로,0,1,0,1,0,0,0,0,0,0,0
척판암,0,1,12,5,0,0,12,1,1,3,0
금탑사,1,1,0,0,0,0,0,0,0,0,0
미타사,4,1,0,233,48,83,288,7,120,9,0
백련암,0,1,0,1,6,0,0,0,1,0,0
승가사,3,1,0,62,0,1,13,3,7,3,0
은적사,8,1,8,450,49,154,478,43,235,10,0
태화루,2,1,0,225,14,30,228,4,39,3,0
통영 한산도 이충무공 유적,0,1,0,3,6,0,2,0,0,2,0
천주교대구대교구한티순교성지,0,1,5,2,8,0,22,2,3,2,0
다솔사응진전,0,0,13,3,2,0,2,0,2,0,0
단양 향산리 삼층석탑,2,0,11,10,37,0,6,0,0,0,0
대원사(보성),0,0,20,0,0,0,0,0,0,0,0
사우정고택,0,0,9,3,1,0,0,0,1,1,0
애은당고택,0,0,10,0,0,0,0,0,0,0,0
월정리역,1,0,0,0,0,0,0,0,0,0,0
창원정씨종가,0,0,20,3,0,0,1,0,0,0,0
천진암 성지,0,0,2,5,8,0,4,0,3,8,0
청양 다락골 줄무덤 성지,0,0,20,3,1,0,1,0,0,2,0
칠탄서원,0,0,3,18,2,0,13,1,4,2,0
팔용산 돌탑,10,0,0,240,117,210,243,25,195,0,0
대견사,0,0,0,0,0,0,0,0,0,0,0
김포장릉,31,0,21,240,11,92,285,32,237,2,0
충주청룡사,0,0,4,5,0,0,0,0,1,0,0
서도중앙교회,0,0,0,0,0,0,0,0,0,0,0
강릉 굴산사지,0,0,0,33,4,0,17,0,5,0,0
구암사,1,0,14,47,3,14,69,1,7,2,0
김포 수안산성,1,0,14,225,0,5,136,2,17,0,0
대광사,0,0,0,47,2,0,285,1,177,2,0
대성사,3,0,35,208,101,9,172,1,21,7,0
두타산성,0,0,0,6,0,0,0,0,0,0,0
모충사,1,0,0,68,5,2,50,0,9,0,0
미륵사,0,0,0,19,2,3,9,0,2,0,0
백산서원,0,0,0,7,1,0,2,0,0,0,0
성주 성산동 고분군,2,0,0,161,6,9,0,1,18,1,0
아산 이충무공 유허,0,0,20,41,1,1,27,1,4,5,0
안흥사,33,0,0,225,38,216,285,31,222,36,0
약사사,42,0,0,450,12,116,570,26,270,44,0
양양동해신묘지,1,0,0,58,113,5,103,1,12,4,0
위봉사,0,0,7,1,5,0,7,0,3,1,0
정수사,0,0,1,3,0,0,0,0,1,0,0
진도 용장성,0,0,0,3,1,0,0,0,0,1,0
하남 동사지,1,0,0,225,0,1,89,0,30,3,0
한재당,1,0,0,43,1,0,8,0,0,0,0
행계서원,1,0,0,0,1,0,0,0,0,0,0
현등사(가평),0,0,18,0,0,0,0,0,0,0,0
화순광산이씨승지공비,0,0,0,6,0,0,8,0,2,0,0
흥천사,0,0,20,44,3,0,17,0,3,3,0
고창 용화사,1,0,14,2,0,0,0,0,0,0,0
광명 영회원,0,0,2,0,0,0,0,0,0,0,0
김상옥 생가,0,0,20,0,0,0,0,0,0,0,0
망이산성,0,0,8,11,6,0,16,0,1,0,0
영월 정양산성,0,0,1,0,0,0,0,0,0,0,0
전주이씨광평대군묘역영순군묘,21,0,1,225,10,83,285,28,222,33,0
화암사,0,0,1,5,12,0,8,0,0,1,0
